Criminal Justice	Administrative Office of the Courts of the State of Kentucky – Division of Pretrial Services	2012	171003
Criminal Justice	Administrative Office of the Courts of the State of Kentucky – Division of Pretrial Services	2013	25434
Criminal Justice	Aleph Institute	2016	50000
Criminal Justice	American Academy of Forensic Sciences	2015	1534000
Criminal Justice	American Association for the Advancement of Science	2014	466535
Criminal Justice	American Civil Liberties Union Foundation, Inc.	2015	791000
Criminal Justice	American Society of Crime Laboratory Directors, Inc.	2016	331138
Criminal Justice	Arizona State University	2013	575502
Criminal Justice	Arizona State University Foundation for a New American University	2015	241601
Criminal Justice	Arizona State University Foundation for a New American University	2015	497575
Criminal Justice	Association of Prosecuting Attorneys, Inc.	2014	560812
Criminal Justice	Association of Prosecuting Attorneys, Inc.	2016	249951
Criminal Justice	Behavioral Ideas Lab, Inc.	2013	225250
Criminal Justice	Behavioral Ideas Lab, Inc.	2013	399993
Criminal Justice	Behavioral Ideas Lab, Inc.	2016	55000
Criminal Justice	Bowling Green State University	2016	439965
Criminal Justice	Brown University	2016	19874
Criminal Justice	Camden Coalition of Healthcare Providers	2014	270053
Criminal Justice	Code for America Labs, Inc.	2013	300000
Criminal Justice	Code for America Labs, Inc.	2013	90000
Criminal Justice	Code for America Labs, Inc.	2016	2400000
Criminal Justice	Corporation for Supportive Housing	2016	485000
Criminal Justice	Council of State Governments	2014	29841
Criminal Justice	Council of State Governments Justice Center, Inc.	2012	50000
Criminal Justice	County of Travis Justice & Public Safety Division – Criminal Justice Planning	2013	69012
Criminal Justice	DataKind, Inc.	2014	42644
Criminal Justice	Dream Corps	2016	99498
Criminal Justice	Duke University	2016	339516
Criminal Justice	Family Service Agency of Santa Barbara	2016	498524
Criminal Justice	George Mason University Foundation, Inc.	2015	165685
Criminal Justice	George Mason University Foundation, Inc.	2015	346800
Criminal Justice	George Mason University Foundation, Inc.	2015	579208
Criminal Justice	George Mason University Foundation, Inc.	2016	348411
Criminal Justice	Hawaii Department of Public Safety	2013	789950
Criminal Justice	Houston Forensic Science LGC, Inc.	2013	75000
Criminal Justice	Indiana University	2013	9366
Criminal Justice	Innocence Project, Inc.	2011	200000
Criminal Justice	Innocence Project, Inc.	2012	600000
Criminal Justice	Institute for Behavior and Health, Inc.	2014	187151
Criminal Justice	Institute for Justice	2016	559705
Criminal Justice	International Association of Chiefs of Police, Inc.	2014	20000
Criminal Justice	International Association of Chiefs of Police, Inc.	2014	25000
Criminal Justice	International Association of Chiefs of Police, Inc.	2014	311974
Criminal Justice	International Association of Chiefs of Police, Inc.	2015	1333268
Criminal Justice	International Association of Chiefs of Police, Inc.	2016	224545
Criminal Justice	Johns Hopkins University	2014	218170
Criminal Justice	Justice Education Center, Inc.	2015	65000
Criminal Justice	Justice System Partners	2014	1337430
Criminal Justice	Justice System Partners	2016	250000
Criminal Justice	Justice System Partners	2016	75000
Criminal Justice	Juvenile Law Center	2015	232800
Criminal Justice	Louisiana Public Defender Board	2015	119551
Criminal Justice	Louisville Jefferson County Metro Government	2015	225000
Criminal Justice	Louisville Jefferson County Metro Government and Office of the Commonwealth’s Attorney	2014	339750
Criminal Justice	Major Cities Chiefs Association	2013	25000
Criminal Justice	Major Cities Chiefs Association	2015	43146
Criminal Justice	Measures for Justice Institute	2016	2084725
Criminal Justice	National Academy of Sciences	2013	384403
Criminal Justice	National Academy of Sciences	2015	115000
Criminal Justice	National Academy of Sciences	2015	541946
Criminal Justice	National Association for Public Defense, Inc.	2016	147730
Criminal Justice	National Center for Civic Innovation, Inc.	2015	1051343
Criminal Justice	National Center for State Courts	2015	1519822
Criminal Justice	National Conference of State Legislatures	2012	132520
Criminal Justice	National Conference of State Legislatures	2013	123657
Criminal Justice	National Conference of State Legislatures	2014	78210
Criminal Justice	National Conference of State Legislatures	2015	111400
Criminal Justice	National Council on Crime and Delinquency	2015	331133
Criminal Justice	National Criminal Justice Association	2016	1202985
Criminal Justice	National Governors Association Center for Best Practices	2016	1249047
Criminal Justice	New York University	2015	25000
Criminal Justice	New York University	2016	245842
Criminal Justice	New York University	2016	327670
Criminal Justice	Open Justice Broker Consortium	2014	238910
Criminal Justice	Pepperdine University	2016	2270084
Criminal Justice	Pew Charitable Trusts	2015	556875
Criminal Justice	Philanthropy Roundtable	2012	15000
Criminal Justice	Police Executive Research Forum	2013	25000
Criminal Justice	Police Executive Research Forum	2015	224782
Criminal Justice	Police Executive Research Forum	2015	370518
Criminal Justice	Police Foundation	2013	25684
Criminal Justice	Police Foundation	2016	1797680
Criminal Justice	Police Foundation	2016	254627
Criminal Justice	President and Fellows of Harvard College	2014	24000
Criminal Justice	President and Fellows of Harvard College	2014	40000
Criminal Justice	President and Fellows of Harvard College	2015	157566
Criminal Justice	President and Fellows of Harvard College	2015	400000
Criminal Justice	President and Fellows of Harvard College	2016	1017058
Criminal Justice	Public Health Management Corporation	2016	490039
Criminal Justice	Regents of the University of Colorado	2016	3000000
Criminal Justice	Research Foundation of the City University of New York	2014	200000
Criminal Justice	Research Foundation of the City University of New York	2014	272023
Criminal Justice	Research Foundation of the City University of New York	2015	266513
Criminal Justice	Research Foundation of the City University of New York	2015	872587
Criminal Justice	Research Foundation of the City University of New York	2016	3258912
Criminal Justice	Research Foundation of the City University of New York	2016	426360
Criminal Justice	Research Triangle Institute	2015	434890
Criminal Justice	Research Triangle Institute	2015	77225
Criminal Justice	Research Triangle Institute	2016	249266
Criminal Justice	Roca, Inc.	2015	677289
Criminal Justice	Southern Poverty Law Center, Inc.	2015	305140
Criminal Justice	Southern Poverty Law Center, Inc.	2015	884438
Criminal Justice	Temple University	2016	302020
Criminal Justice	Texas Public Policy Foundation	2014	103799
Criminal Justice	Texas Public Policy Foundation	2016	211474
Criminal Justice	The Board of Trustees of the Leland Stanford Junior University	2013	29827
Criminal Justice	The Marshall Project, Inc.	2014	1000000
Criminal Justice	The Marshall Project, Inc.	2016	1500000
Criminal Justice	The National Judicial College	2014	366171
Criminal Justice	The Regents of the University of California, Berkeley	2015	194762
Criminal Justice	The Regents of the University of California, Berkeley	2015	941326
Criminal Justice	The Regents of the University of California, Los Angeles	2015	61600
Criminal Justice	The Regents of the University of Michigan	2016	922484
Criminal Justice	The Sunlight Foundation	2014	613549
Criminal Justice	The University of Chicago	2013	749918
Criminal Justice	The University of Chicago	2014	1000000
Criminal Justice	The University of Chicago	2014	125000
Criminal Justice	The University of Chicago	2014	4499222
Criminal Justice	The University of Chicago	2016	199367
Criminal Justice	Treatment Research Institute	2016	499617
Criminal Justice	Trustees of the University of Pennsylvania	2013	67000
Criminal Justice	Trustees of the University of Pennsylvania	2016	247706
Criminal Justice	Trustees of the University of Pennsylvania	2016	329060
Criminal Justice	University of Cincinnati Research Institute	2016	1996684
Criminal Justice	University of Connecticut	2016	74096
Criminal Justice	University of Connecticut	2016	80107
Criminal Justice	University of Denver – Institute for the Advancement of the American Legal System	2012	200000
Criminal Justice	University of Maryland	2014	1412215
Criminal Justice	University of Miami	2016	429389
